遮掩方式,差值,前三种爱选的方式
"[[0 0 1]
 [1 1 0]
 [0 1 0]]",681.46276,"[(3, 20931), (2, 15593), (0, 15406)]"
"[[1 0 0]
 [0 1 1]
 [0 1 0]]",681.5941,"[(7, 20974), (0, 15491), (2, 15452)]"
"[[0 1 0]
 [0 1 1]
 [1 0 0]]",687.33381,"[(3, 20740), (0, 15645), (6, 15532)]"
"[[0 1 0]
 [1 1 0]
 [0 0 1]]",691.51467,"[(7, 20801), (2, 15628), (4, 15550)]"
"[[1 1 0]
 [1 0 1]
 [0 0 0]]",691.57402,"[(0, 19703), (3, 18530), (5, 17789)]"
"[[0 0 1]
 [1 0 0]
 [1 1 0]]",696.62919,"[(3, 20560), (1, 17157), (5, 16918)]"
"[[1 0 0]
 [0 0 1]
 [0 1 1]]",696.77485,"[(7, 20472), (5, 17270), (2, 17177)]"
"[[1 1 0]
 [1 0 0]
 [0 1 0]]",698.34985,"[(6, 19596), (3, 18649), (1, 17642)]"
"[[0 1 0]
 [0 0 1]
 [0 1 1]]",699.16794,"[(4, 19876), (3, 18409), (1, 17572)]"
"[[0 1 1]
 [0 0 1]
 [1 0 0]]",700.01686,"[(3, 20516), (0, 17118), (5, 17038)]"
"[[0 0 0]
 [1 0 1]
 [0 1 1]]",700.80421,"[(2, 19846), (3, 18821), (5, 17537)]"
"[[0 0 0]
 [1 0 1]
 [1 1 0]]",700.83587,"[(2, 19887), (7, 18394), (6, 17490)]"
"[[0 1 1]
 [0 1 0]
 [1 0 0]]",701.10252,"[(1, 22285), (6, 21657), (0, 19838)]"
"[[0 1 0]
 [1 0 0]
 [1 1 0]]",701.64204,"[(3, 19705), (7, 18833), (1, 17671)]"
"[[1 0 0]
 [0 1 1]
 [0 0 1]]",702.05946,"[(5, 21995), (0, 21939), (2, 19707)]"
"[[0 1 1]
 [0 0 1]
 [0 1 0]]",702.09676,"[(3, 19848), (7, 18772), (1, 17444)]"
"[[1 0 0]
 [0 1 0]
 [0 1 1]]",702.42032,"[(1, 21833), (6, 21755), (2, 19904)]"
"[[0 1 1]
 [1 0 1]
 [0 0 0]]",704.18771,"[(0, 20018), (7, 18732), (5, 17327)]"
"[[1 1 0]
 [1 0 0]
 [0 0 1]]",704.34932,"[(7, 20567), (0, 17149), (5, 17016)]"
"[[0 0 1]
 [0 1 0]
 [1 1 0]]",707.43446,"[(1, 22132), (4, 21847), (2, 19754)]"
"[[0 0 1]
 [1 1 0]
 [1 0 0]]",707.73707,"[(3, 22074), (0, 21746), (2, 19809)]"
"[[0 0 1]
 [0 1 1]
 [1 0 0]]",708.66712,"[(2, 22034), (3, 21702), (0, 19881)]"
"[[1 0 0]
 [1 1 0]
 [0 0 1]]",710.6106,"[(5, 21955), (2, 21847), (0, 19994)]"
"[[1 1 0]
 [0 1 0]
 [0 0 1]]",714.05411,"[(1, 21911), (4, 21738), (0, 19807)]"
"[[0 1 0]
 [1 0 1]
 [0 1 0]]",720.24376,"[(3, 18762), (2, 17191), (4, 17109)]"
"[[0 1 0]
 [0 0 0]
 [1 1 1]]",757.71078,"[(1, 22299), (3, 21414), (4, 21157)]"
"[[1 0 0]
 [1 0 1]
 [1 0 0]]",760.27291,"[(5, 22231), (2, 21502), (0, 21312)]"
"[[1 1 1]
 [0 0 0]
 [0 1 0]]",765.73662,"[(1, 22386), (3, 21410), (6, 21393)]"
"[[0 0 1]
 [1 0 1]
 [0 0 1]]",773.434,"[(5, 22118), (0, 21512), (2, 21487)]"
"[[1 0 1]
 [1 0 0]
 [0 1 0]]",794.49668,"[(3, 22116), (1, 19066), (6, 19064)]"
"[[1 0 0]
 [1 0 1]
 [0 1 0]]",800.0251,"[(7, 22416), (2, 19864), (6, 19672)]"
"[[1 0 1]
 [0 0 1]
 [0 1 0]]",801.78101,"[(7, 21969), (1, 19125), (3, 19048)]"
"[[1 1 0]
 [0 0 1]
 [1 0 0]]",802.3202,"[(3, 22202), (0, 19007), (5, 19006)]"
"[[0 1 0]
 [1 0 0]
 [1 0 1]]",803.22039,"[(7, 21734), (3, 19120), (1, 19084)]"
"[[0 0 1]
 [1 0 1]
 [0 1 0]]",805.01642,"[(3, 22460), (4, 20005), (2, 19700)]"
"[[0 1 1]
 [1 0 0]
 [0 0 1]]",805.46679,"[(7, 22162), (5, 19121), (0, 19116)]"
"[[0 1 0]
 [0 0 1]
 [1 0 1]]",805.65765,"[(3, 22247), (4, 19203), (1, 19039)]"
"[[0 1 0]
 [0 0 1]
 [1 1 0]]",807.13425,"[(3, 22482), (2, 20118), (4, 19863)]"
"[[0 1 0]
 [1 0 0]
 [0 1 1]]",807.6424,"[(7, 22553), (2, 19939), (3, 19917)]"
"[[0 1 0]
 [1 0 1]
 [1 0 0]]",809.56842,"[(3, 22420), (0, 19969), (6, 19954)]"
"[[0 1 1]
 [1 0 0]
 [0 1 0]]",810.22001,"[(3, 22284), (0, 20052), (6, 19982)]"
"[[0 0 1]
 [1 0 0]
 [0 1 1]]",811.10693,"[(3, 22216), (2, 19074), (5, 18963)]"
"[[1 0 0]
 [0 0 1]
 [1 1 0]]",811.72109,"[(7, 22118), (5, 19331), (2, 18784)]"
"[[1 1 0]
 [0 0 1]
 [0 1 0]]",818.78849,"[(7, 22330), (3, 20119), (0, 19781)]"
"[[0 1 0]
 [1 0 1]
 [0 0 1]]",822.23455,"[(7, 22348), (0, 19927), (4, 19806)]"
